time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-02,21.8,16.8,27.9,0.0,,177.0,5.8,,1014.6,
2021-01-03,21.6,15.7,28.0,0.0,,173.0,6.8,,1013.2,
2021-01-04,21.8,16.4,28.2,0.0,,164.0,9.1,,1013.2,
2021-01-05,23.0,16.2,30.2,0.0,,164.0,7.1,,1013.7,
2021-01-06,23.6,21.2,28.0,0.1,,174.0,5.6,,1012.9,
2021-01-07,23.7,20.4,28.2,0.3,,350.0,4.9,,1011.0,
2021-01-08,24.4,19.2,30.6,0.0,,145.0,7.5,,1010.6,
2021-01-09,23.8,19.1,30.1,0.0,,171.0,9.3,,1011.6,
2021-01-10,23.3,17.0,30.1,0.0,,140.0,4.9,,1012.1,
2021-01-11,23.7,16.9,31.2,0.0,,18.0,5.3,,1012.7,
2021-01-12,24.8,18.7,31.4,0.0,,2.0,5.0,,1012.7,
2021-01-13,23.9,18.3,30.8,0.0,,14.0,5.8,,1012.5,
2021-01-14,23.6,18.0,29.8,0.0,,15.0,6.2,,1012.8,
2021-01-15,22.8,16.1,29.7,0.0,,5.0,4.8,,1011.9,
2021-01-16,23.2,16.6,30.2,0.0,,63.0,5.2,,1010.6,
2021-01-17,23.4,17.4,29.9,0.0,,143.0,5.8,,1012.0,
2021-01-18,23.3,18.6,28.9,0.0,,170.0,8.0,,1013.4,
2021-01-19,23.2,18.5,29.7,0.0,,168.0,6.7,,1012.7,
2021-01-20,24.1,18.2,31.8,0.0,,178.0,6.9,,1012.4,
2021-01-21,24.5,19.3,32.8,0.0,,313.0,6.5,,1011.7,
2021-01-22,24.7,18.6,31.4,0.0,,9.0,5.4,,1012.0,
2021-01-23,24.4,17.9,31.1,0.0,,170.0,5.7,,1012.3,
2021-01-24,24.7,18.8,31.8,0.0,,173.0,7.2,,1012.5,
2021-01-25,24.8,19.4,31.6,0.0,,165.0,7.9,,1013.0,
2021-01-26,24.9,19.7,31.8,0.0,,150.0,8.0,,1012.5,
2021-01-27,24.7,19.1,30.7,0.0,,152.0,7.9,,1012.8,
2021-01-28,24.2,18.9,29.6,0.0,,158.0,9.5,,1013.6,
2021-01-29,24.6,19.6,30.7,0.0,,165.0,9.5,,1014.0,
2021-01-30,23.8,18.3,29.3,0.2,,102.0,4.2,,1013.9,
2021-01-31,23.9,18.5,29.8,0.0,,90.0,5.0,,1014.4,
2021-02-01,23.3,18.0,29.2,0.0,,55.0,6.8,,1016.5,
2021-02-02,22.4,15.4,29.7,0.0,,25.0,6.5,,1016.6,
2021-02-03,22.8,16.2,29.8,0.0,,116.0,5.8,,1015.7,
2021-02-04,22.4,17.2,29.1,0.0,,159.0,7.9,,1015.3,
2021-02-05,22.3,16.3,29.4,0.0,,150.0,8.0,,1014.2,
2021-02-06,23.0,16.4,30.3,0.0,,109.0,7.7,,1013.3,
2021-02-07,22.5,15.8,29.0,0.0,,357.0,7.0,,1014.8,
2021-02-08,21.4,13.8,28.8,0.0,,20.0,6.7,,1015.8,
2021-02-09,22.2,14.1,30.2,0.0,,341.0,6.2,,1014.3,
2021-02-10,22.5,15.3,30.7,0.0,,165.0,5.8,,1012.6,
2021-02-11,23.6,16.2,31.1,0.0,,161.0,7.1,,1011.8,
2021-02-12,23.7,17.5,30.6,0.0,,160.0,8.4,,1012.9,
2021-02-13,24.2,18.1,31.0,0.0,,166.0,9.3,,1013.7,
2021-02-14,24.7,18.3,31.5,0.0,,159.0,7.5,,1013.2,
2021-02-15,25.5,18.5,32.2,0.0,,137.0,7.3,,1011.9,
2021-02-16,25.6,19.1,32.3,0.0,,172.0,10.5,,1011.2,
2021-02-17,25.3,19.1,31.6,0.0,,159.0,10.6,,1011.6,
2021-02-18,23.6,17.4,29.6,0.4,,127.0,9.3,,1014.1,
2021-02-19,22.9,17.8,28.8,0.9,,60.0,5.1,,1016.1,
2021-02-20,23.8,17.9,29.3,0.0,,22.0,7.9,,1015.1,
2021-02-21,24.0,17.7,29.7,0.0,,141.0,6.5,,1015.4,
2021-02-22,25.4,19.5,31.5,0.0,,20.0,6.0,,1014.7,
2021-02-23,24.8,17.9,32.5,0.0,,331.0,6.2,,1012.9,
2021-02-24,25.6,17.8,33.2,0.0,,354.0,5.7,,1011.6,
2021-02-25,26.1,18.8,33.9,0.0,,314.0,5.6,,1011.1,
2021-02-26,26.4,18.5,34.8,0.0,,282.0,5.9,,1009.3,
2021-02-27,27.5,20.3,34.8,0.0,,340.0,6.7,,1008.5,
2021-02-28,27.2,19.9,35.2,0.0,,328.0,5.3,,1009.0,
2021-03-01,27.0,20.1,34.9,0.0,,169.0,6.3,,1011.8,
2021-03-02,27.3,20.8,34.9,0.0,,274.0,6.5,,1012.1,
2021-03-03,27.1,20.2,34.5,0.0,,350.0,6.8,,1011.5,
2021-03-04,26.3,18.6,34.5,0.0,,152.0,6.4,,1011.9,
2021-03-05,26.9,19.4,34.9,0.0,,174.0,8.5,,1012.4,
2021-03-06,27.0,19.8,34.8,0.0,,294.0,7.3,,1012.3,
